"sex","age","discrim","bully","familism","internalize"
2,16,13,5,27,25
1,15,12,2,31,28
1,16,12,1,33,6
2,16,17,8,25,17
2,17,12,1,26,12
2,15,14,0,31,17
2,17,20,0,29,5
2,16,25,5,21,9
1,15,11,4,31,22
2,14,13,1,25,19
2,17,13,1,30,30
1,16,15,2,33,9
2,17,9,3,21,12
2,17,23,1,25,28
2,17,13,1,30,16
2,15,16,0,36,31
2,16,13,1,18,21
1,17,10,0,24,8
2,16,9,0,35,19
2,16,13,2,34,7
1,17,19,2,29,21
1,17,28,1,32,32
2,16,11,0,35,21
1,17,11,8,25,26
2,17,14,1,27,14
1,16,8,1,24,10
2,15,19,4,26,46
2,17,11,1,31,23
2,17,10,1,28,15
2,15,23,9,21,35
2,14,9,0,36,15
2,17,18,0,34,29
2,14,20,4,13,49
2,14,10,0,30,18
2,14,13,5,33,18
2,17,11,0,22,15
2,14,12,11,23,20
2,15,12,1,21,10
1,15,25,10,15,43
2,14,8,2,27,14
2,17,15,0,27,13
2,15,11,5,24,11
2,16,13,2,32,5
2,14,18,1,20,42
2,15,16,3,24,13
1,16,8,0,31,7
2,14,10,0,22,28
1,15,13,1,33,9
2,15,10,1,29,30
2,17,26,2,25,39
2,14,10,0,28,28
1,17,12,6,26,38
1,14,14,4,34,27
1,14,10,0,23,7
2,15,11,0,25,15
2,14,13,0,29,14
1,17,9,2,24,9
2,15,11,2,24,6
1,14,11,1,35,22
1,17,17,0,27,45
1,15,27,1,29,37
2,15,16,0,28,13
2,16,12,20,25,36
2,16,15,3,22,33
2,16,10,1,33,14
2,16,19,4,25,26
2,16,12,1,26,32
2,16,14,1,25,19
2,14,9,0,33,25
1,16,9,1,24,13
1,16,11,0,33,8
1,16,10,2,26,14
1,16,13,0,37,13
2,17,10,1,29,18
1,17,13,3,30,10
2,15,12,1,19,19
2,14,17,2,28,28
2,17,9,15,14,37
1,15,12,1,35,16
2,16,15,0,30,22
2,14,17,0,36,19
2,17,24,2,23,42
1,14,13,0,35,13
1,16,33,1,11,45
1,15,9,2,41,9
1,16,9,2,28,9
2,15,16,0,17,41
1,15,10,1,31,11
1,17,12,8,33,10
1,14,14,1,36,6
1,14,10,1,24,15
2,17,9,5,14,35
2,17,14,1,33,15
2,14,15,0,20,40
1,16,7,0,37,4
1,15,12,1,33,10
2,15,31,4,28,32
1,16,9,1,35,11
1,16,10,3,39,5
2,16,11,2,34,31
2,17,11,2,28,13
2,17,23,0,27,17
1,15,19,3,26,20
2,15,8,0,35,10
1,14,11,4,32,8
2,16,11,0,31,6
1,14,11,0,35,1
1,15,15,12,31,16
1,17,8,0,39,12
2,15,11,8,30,14
1,16,13,0,24,3
2,17,19,1,19,30
1,15,12,1,27,14
1,16,13,2,29,2
1,15,10,1,20,10
2,15,14,1,31,36
1,17,16,0,21,18
1,16,10,10,28,19
1,15,18,16,20,18
1,15,13,10,15,36
1,14,13,6,34,15
2,15,24,2,26,45
2,16,23,1,13,25
2,16,10,0,31,12
2,17,13,1,33,16
1,15,14,0,35,4
1,14,10,2,39,6
2,16,13,0,26,24
2,17,12,4,32,17
2,17,15,4,23,16
1,17,18,0,21,23
2,15,20,4,15,24
1,17,18,4,27,25
1,17,10,10,29,20
2,15,21,6,30,46
2,16,10,0,27,17
1,17,10,1,21,12
2,15,13,5,30,6
2,17,15,0,31,16
2,15,10,1,30,35
2,16,21,4,11,29
2,17,10,1,25,45
2,16,19,6,31,14
2,17,12,1,27,24
1,15,11,4,23,2
2,15,9,0,38,11
2,16,11,1,30,27
1,15,13,2,29,13
1,17,9,1,38,5
2,15,14,2,36,12
1,15,10,0,32,1
2,14,9,1,36,24
1,16,20,1,26,20
2,17,21,0,23,31
1,14,15,6,26,16
1,16,9,0,31,9
1,16,10,0,34,1
1,17,13,0,29,12
1,17,13,1,30,13
2,16,15,1,30,25
2,14,8,1,21,39
1,15,9,0,33,11
1,15,14,0,21,35
1,16,17,1,31,27
1,17,22,18,18,26
2,15,17,0,27,13
1,15,14,4,31,14
2,15,10,0,28,8
1,17,12,1,15,29
1,14,26,0,29,22
2,17,20,19,6,28
1,14,9,3,31,13
1,15,10,0,32,12
2,17,9,0,25,35
1,15,17,1,25,24
1,14,13,4,11,22
1,16,14,1,28,21
2,14,10,0,30,16
1,15,9,2,30,12
1,17,9,2,23,28
1,14,10,0,30,24
2,15,11,2,13,18
1,17,10,1,29,20
2,17,15,1,14,45
2,17,14,0,22,28
1,16,10,2,31,19
2,16,12,12,15,14
2,16,15,9,25,21
2,15,14,2,32,15
1,15,15,0,31,6
2,17,24,0,36,18
2,14,15,12,11,32
2,15,9,2,28,13
1,16,23,8,28,37
1,16,10,0,32,3
2,16,12,4,34,31
1,15,10,1,26,18
2,17,10,0,21,21
1,17,14,2,33,4
1,16,15,6,29,22
2,16,24,1,25,12
2,15,8,1,33,26
2,17,14,2,37,12
2,16,13,0,30,24
2,16,15,2,36,22
2,16,25,3,23,14
1,15,21,20,11,32
2,16,9,1,32,14
2,14,11,0,39,9
1,14,12,0,30,8
1,14,10,1,25,22
2,17,10,1,30,6
1,14,14,1,35,5
1,15,18,2,28,17
1,17,14,0,28,10
2,17,9,0,20,26
1,14,26,16,10,59
1,15,16,2,21,10
1,17,17,2,18,20
1,15,13,1,28,9
2,14,13,1,28,21
2,15,12,1,26,24
1,17,25,0,17,17
2,15,10,0,34,22
1,16,12,1,30,12
2,16,9,0,22,11
2,15,21,1,29,21
2,16,14,1,28,7
2,17,15,4,26,25
2,17,8,4,34,9
2,16,18,0,29,16
2,14,17,1,29,24
1,16,9,0,38,21
2,17,19,4,30,22
2,14,13,0,32,8
2,17,9,4,26,12
2,14,17,8,31,38
1,14,14,3,36,15
1,16,20,2,28,21
2,17,12,0,24,31
2,14,14,3,16,17
1,14,14,0,33,1
2,16,14,1,28,9
1,17,13,0,39,11
2,14,25,17,11,34
1,17,10,1,30,18
1,14,10,0,34,11
1,15,16,2,28,35
2,15,13,17,19,36
2,15,11,2,26,8
2,17,11,1,35,4
2,16,13,1,32,16
1,15,11,10,23,13
1,16,10,0,34,9
2,16,13,4,29,15
2,14,8,7,27,19
1,16,11,2,25,9
1,15,16,1,10,23
2,16,22,1,29,21
1,17,12,0,31,30
1,17,30,1,18,35
2,15,14,3,30,25
2,15,10,0,22,10
2,15,22,2,25,35
2,16,11,1,28,16
1,14,9,0,31,11
2,14,17,2,26,35
1,15,7,0,30,13
2,16,14,5,25,40
1,14,10,3,31,8
2,15,9,7,21,31
1,15,12,1,34,23
2,15,24,3,24,29
1,17,11,0,32,15
1,14,18,1,16,47
1,16,12,8,29,22
1,15,23,3,19,23
1,15,16,2,26,15
2,16,15,0,21,30
2,14,8,1,34,16
2,16,8,0,33,23
2,14,11,4,27,10
1,16,12,0,20,14
2,14,18,2,29,19
1,17,9,1,22,12
1,16,12,1,29,20
2,17,19,5,35,6
1,15,15,18,19,45
1,15,12,0,21,9
1,17,9,19,30,5
1,17,18,6,30,28
2,16,12,2,34,17
2,14,11,0,34,15
2,14,15,4,16,26
2,15,11,0,26,18
2,14,20,4,32,15
2,17,25,10,12,60
1,14,12,0,21,9
2,14,11,6,18,50
1,15,11,2,36,0
2,17,13,2,28,18
2,14,15,0,22,28
2,15,11,3,36,9
1,16,15,1,24,12
1,16,13,1,26,13
1,15,18,13,29,40
2,16,13,0,37,42
2,16,13,4,17,27
2,16,13,1,21,11
1,14,11,1,33,14
1,16,13,3,29,12
2,15,12,1,18,32
1,17,11,1,27,13
2,16,9,8,21,43
1,14,10,1,30,12
2,14,10,1,33,31
2,17,17,0,26,14
2,17,18,4,30,16
2,14,20,17,6,44
1,16,13,0,26,15
1,17,23,19,14,57
1,17,15,2,31,9
2,14,11,0,29,39
1,15,10,1,41,15
