"id","female","anxdep1","anxdep2","anxdep3","anxdep4","lonely1","lonely2","lonely3","lonely4"
120,0,1.02,1.88,NA,1.98,1.38,1.9,2.24,2.16
121,0,2.31,NA,NA,1.87,2.47,NA,0.73,2.04
122,0,1.69,1.23,NA,2.04,3.63,2.75,2.19,NA
123,0,1.42,1.18,0.99,1.71,NA,2.97,2.81,2.68
124,0,1.95,1.99,1.98,NA,2.63,2.23,2.39,1.88
125,0,2.59,2.42,1.15,1.82,2.83,2.66,NA,2.34
126,0,0.79,1.22,NA,NA,NA,NA,2.21,NA
127,0,NA,NA,2.57,NA,1.31,NA,2.34,2.36
128,0,NA,0,0.81,1.34,1.46,1.06,1.47,1.1
129,0,1.35,1.34,2.42,1.97,NA,NA,NA,NA
130,0,0.76,0.89,NA,NA,NA,2.06,1.67,2.39
131,0,1.93,1.31,1.63,2.06,NA,NA,3.17,2.92
132,0,NA,1.14,NA,1.99,2.12,2.36,NA,NA
133,0,NA,1.22,NA,1.6,2.53,1.92,1.71,NA
134,0,NA,NA,1.09,1.77,NA,1.76,NA,NA
135,0,0.42,NA,NA,NA,1.39,NA,1.43,1.12
136,0,1.86,2.16,2.14,NA,2.61,2.65,2.9,2.32
137,0,NA,1.78,2.09,2.44,NA,NA,2.74,4
138,0,2.25,1.5,1.67,NA,NA,1.71,NA,1.74
139,0,1.18,NA,1.94,1.75,NA,NA,2,1.62
140,0,1.89,1.85,2.12,2.19,3.02,2.87,NA,3.52
141,0,0,0.78,1.22,1.31,0.66,1.5,NA,0.42
142,0,2.47,1.65,2.3,2.23,NA,2.87,NA,3.6
143,0,0.95,NA,NA,NA,1.32,NA,NA,NA
144,0,NA,NA,NA,2.26,1.6,2.4,NA,1.8
145,0,2.24,1.99,2.58,2.54,2.97,2.36,NA,3.67
146,0,2.02,0.86,2.04,1.86,NA,1.3,2.01,2.38
147,0,2.64,1.89,NA,NA,2.85,1.99,2.69,3.12
148,0,1.97,1.62,1.06,1.71,1.6,1.3,NA,NA
149,0,0.22,1.67,1.31,NA,2.16,2.47,NA,1.59
150,0,0.84,0.45,NA,NA,0.82,0.41,1.44,1.18
151,0,1.42,3.1,2.59,1.85,3.07,3.46,3.19,NA
152,0,1.44,1.74,1.12,1.7,1.51,NA,NA,NA
153,0,2.47,2.74,2.69,2.42,NA,NA,3.21,3.21
154,0,1.72,1.48,NA,NA,2.33,2.83,NA,3.24
155,0,0.07,0.92,1.89,NA,1.93,2.2,2.69,1.79
156,0,1.8,1.88,2.56,2,2.14,1.69,2.73,2.49
157,0,2.13,1.71,2.85,1.98,2.3,NA,2.91,NA
158,0,1.48,1.8,1.12,NA,1.9,2.6,NA,1.28
159,0,NA,1.56,1.13,1.66,1.23,1.74,NA,NA
160,0,2.33,1.86,2.49,1.96,NA,2.22,3.25,NA
161,0,0.82,1.01,NA,2.03,2.67,NA,1.82,2.41
162,0,NA,2.32,NA,1.95,NA,2.13,2.1,1.87
163,0,2.87,1.82,2.5,NA,NA,3,4.01,NA
164,0,1.24,NA,NA,1.45,NA,2.06,NA,NA
165,0,0,1.23,1.26,1.57,0,1.17,NA,NA
166,0,1.36,NA,NA,2,2.76,2.89,NA,2.45
167,0,2.11,2.54,NA,NA,NA,2.51,2.84,3.52
168,0,1.38,1.6,1.56,2.06,2.01,2.02,1.7,NA
169,0,NA,1.77,2.05,1.67,2.18,2.46,2.44,NA
170,0,3.1,2.43,3.37,NA,NA,2.62,NA,NA
171,0,1.33,1.84,2.2,NA,1.63,2.1,3.07,2.22
172,0,1.29,1.73,1.18,NA,2.06,NA,1.09,NA
173,0,2.55,NA,NA,1.67,1.56,2.21,NA,1.43
174,0,NA,1.79,1.76,NA,1.58,1.84,NA,NA
175,0,2.04,1.52,2.18,1.88,1.33,1.04,1.22,NA
176,0,0.7,1.09,NA,1.98,2.94,NA,NA,2.64
177,0,1.83,NA,NA,1.6,2.29,NA,2.38,NA
178,0,NA,NA,2.83,NA,NA,1.93,NA,NA
179,0,0.51,0.53,1.43,NA,1.61,2.14,NA,2.85
180,0,1.81,1.62,NA,NA,2.63,2.37,1.65,NA
181,0,1.7,2.24,1.99,NA,1.98,NA,2.98,2.56
182,0,1.11,NA,1.81,NA,1.54,1.78,NA,1.85
183,0,1.52,1.45,NA,2.02,NA,NA,NA,NA
184,0,0.98,NA,NA,1.55,1.86,1.85,1.12,0.95
185,0,1.88,1.25,NA,2.2,2.35,2.04,NA,3.33
186,0,1.67,NA,1.21,1.8,1.21,1.42,1.82,1.88
187,0,1.67,NA,2.23,NA,1.6,1.93,NA,2.2
188,0,NA,2.29,NA,NA,3.11,1.84,2.19,2.16
189,0,1.12,NA,1.56,1.49,NA,1.42,NA,1.37
190,0,2.86,2.41,NA,1.69,4.21,3.33,3.32,1.79
191,0,1.59,1.96,NA,1.98,2.22,1.93,NA,NA
192,0,1.96,NA,NA,1.95,2.34,2.68,NA,NA
193,0,1.59,NA,NA,NA,NA,NA,NA,3.13
194,0,0.74,1.03,0.47,NA,1.02,0.86,0.45,1.78
195,0,1.62,1.54,NA,NA,NA,2.49,NA,2.72
196,0,NA,0.51,0.77,NA,0.42,NA,1.92,1.18
197,0,NA,NA,1.99,NA,1.81,1.78,2.25,3.37
198,0,1.53,1.24,0.77,1.62,1.96,1.56,1.2,NA
199,0,1.38,1.58,2.06,NA,NA,NA,2.09,2.28
200,0,2.18,2.5,2.38,1.89,NA,2.85,2.86,NA
201,0,NA,0.83,1.53,NA,NA,NA,2.22,NA
202,0,0.59,0.62,NA,NA,NA,1.06,1.23,0.38
203,0,NA,NA,1.87,1.99,2.78,3.37,2.72,3.02
204,0,NA,1.65,NA,NA,1.35,1.58,0.67,1.85
205,0,0.48,0,0.15,NA,2.03,1.89,2.02,1.54
206,0,2.19,2.34,NA,NA,3.6,3.88,NA,3.8
207,0,1.29,1.19,1.28,1.74,1.55,0.92,1.82,NA
208,0,NA,0.41,0.73,1.08,2.68,2.31,1.48,NA
209,0,NA,0.44,NA,NA,1.11,1.21,1.43,2.52
210,0,1.5,2.04,2.24,1.99,1.61,2.28,2.32,3.17
211,0,NA,1.34,NA,1.63,1.83,2.08,1.74,1.26
212,0,NA,0.89,0.19,NA,NA,0.83,1.19,NA
213,0,0.92,1.58,0.61,1.43,1.76,2.52,1.69,1.4
214,0,2.75,2.14,NA,2.43,3.07,3.24,2.62,NA
215,0,0.28,NA,NA,1.84,1.67,2.28,NA,2.62
216,0,2.05,0.76,1.87,NA,NA,0.63,NA,NA
217,0,NA,NA,NA,NA,1.5,1.34,1.97,NA
218,0,0.78,NA,1.13,NA,NA,2.25,1.96,3.04
219,0,1.44,1.75,3.14,2.48,NA,NA,4.04,3.22
220,0,1.27,1.38,NA,NA,2.33,NA,2.45,NA
221,0,2.57,2.02,3.12,NA,3.05,NA,2.62,NA
222,0,1.78,2.4,2.88,NA,3.08,3.34,3.58,3.5
223,0,1.49,2.14,NA,1.96,1.95,2.44,NA,2.38
224,0,1.42,1.61,NA,NA,NA,2.12,1.65,1
225,0,1.95,1.84,2.34,2.37,NA,2.69,2.26,2.51
226,0,0.9,0.91,0.51,NA,NA,1.56,0.77,1.41
227,0,2.02,1.4,1.81,1.81,2.85,2.41,NA,3.51
228,0,1.17,1.15,NA,NA,NA,0.83,NA,1.89
229,0,0.53,1.65,NA,1.79,2.47,3.36,3.15,3.41
230,0,1.64,2.16,NA,2.3,NA,NA,3.29,NA
231,0,1,1.02,0.65,NA,1.87,2.11,NA,1.44
232,0,NA,3.11,2.78,NA,NA,3.92,3.94,3.07
233,0,1.41,1.31,NA,NA,1.66,NA,NA,2.98
234,0,2.67,NA,NA,2.09,2.2,1.84,1.73,3.25
235,0,1.98,NA,NA,2.28,NA,2.38,3,3.27
236,0,NA,2.27,2.98,2.48,2.51,2.38,NA,NA
237,0,0.77,NA,NA,2.2,0.6,NA,NA,NA
238,0,NA,3.03,NA,2.04,3.02,3.08,NA,2.66
239,0,NA,1.07,NA,NA,1.69,NA,3.18,3.27
240,0,0.55,1.59,NA,1.74,NA,1.38,NA,1.07
241,0,1.53,2.12,1.31,2.05,NA,1.75,2.44,3.3
242,0,1.81,2.03,NA,NA,0.58,1.03,1.72,1.98
243,0,NA,1.95,1.54,1.85,1.94,1.9,2.18,NA
244,0,1.4,1.18,NA,NA,1.74,NA,0.5,1.08
245,0,NA,NA,NA,NA,NA,2.29,NA,NA
246,0,2.05,1.33,NA,1.98,NA,1.92,NA,NA
247,0,1.05,2.1,1.11,NA,3.04,2.61,1.58,1.88
248,0,1.21,1.65,NA,1.69,2.1,1.97,2.61,2.61
249,0,1.55,1.31,NA,1.69,NA,2.98,2.47,2.65
250,0,NA,1.91,2.64,1.99,2.65,NA,1.59,1.49
251,0,0.53,NA,1.14,NA,0.49,0.88,NA,1.81
252,0,0.91,0.43,0.66,1.55,2.05,2.09,1.35,2.44
253,0,2.29,2.14,NA,NA,NA,NA,NA,4.53
254,0,0.94,NA,NA,1.94,NA,1.13,1.76,NA
255,0,1.18,NA,1.77,1.64,2.9,2.75,NA,NA
256,0,1.71,1.62,NA,2.04,2.3,1.79,NA,3.51
257,0,1.98,1.09,1.95,NA,2.2,1.86,2.85,2.23
258,0,NA,2.48,3.14,2.11,2.36,2.69,NA,3.71
259,0,2.43,1.58,NA,1.79,1.68,1.3,1.59,NA
260,0,1.57,1.31,NA,1.73,0.9,NA,NA,1.36
261,0,1.06,0.82,1.45,2.15,2.97,NA,2.87,NA
262,0,2.1,1.78,1.2,NA,NA,3.09,NA,NA
263,0,NA,NA,NA,2.11,2.37,2.61,2.45,NA
264,0,0.21,0.88,NA,1.36,1.06,1.03,NA,NA
265,0,1.96,1.29,NA,NA,2.11,1.85,2.34,3.31
266,0,2.45,NA,2.75,1.6,1.11,NA,NA,1.13
267,0,0.63,2.11,2.48,1.91,NA,NA,1.77,NA
268,0,1.61,1.5,2.24,2.24,2.6,3.31,NA,3.77
269,0,0.56,NA,1.21,NA,NA,NA,1.72,2.04
270,0,NA,NA,NA,1.98,NA,3.55,3.77,3.86
271,0,1.91,1.92,1.58,NA,NA,NA,3.37,NA
272,0,0.68,1.34,1.24,1.66,1.48,1.35,2.2,NA
273,0,1.55,0.67,1.42,1.8,NA,NA,2.73,2.61
274,0,1.2,1.49,NA,1.86,2.11,2.24,NA,2.77
275,0,1.94,1.43,NA,NA,2.44,2.27,3.21,1.4
276,0,1.57,1.64,1.02,1.85,NA,1.35,0.73,NA
277,0,NA,2.41,NA,2.55,2.99,NA,3.12,4.02
278,0,NA,NA,1.53,2,2.6,NA,1.59,2.99
279,0,1.21,1.84,NA,1.81,2,1.65,1.9,1.66
280,0,1.52,1.32,0.66,NA,1.33,1.19,1.38,0.61
281,0,2.39,NA,0.45,1.51,1.92,0.71,NA,NA
282,0,2.91,3.31,3.38,2.69,2.78,3.46,NA,4.3
283,0,2.23,2.4,2.46,2.48,NA,2.66,NA,NA
284,0,0.55,1.43,1.69,1.89,0.14,0.79,NA,NA
285,0,1.49,2.17,NA,1.8,NA,3.3,3.39,2.51
286,0,2.32,2.2,NA,NA,NA,2.5,1.86,NA
287,0,1.39,0.53,1.64,NA,1.44,0.75,1.42,1.42
288,0,2.57,2.68,NA,2.17,2.78,3.14,NA,NA
289,0,NA,1.43,NA,NA,1.43,1.55,1.23,1.8
290,0,0.69,2.27,2.7,NA,2.49,NA,2.66,NA
291,0,1.07,1.53,1.9,1.55,1.62,NA,NA,NA
292,0,2.49,NA,2.68,2.01,3.05,2.42,NA,NA
293,0,1.89,2.56,NA,2.13,2.31,2.42,3.7,2.74
294,0,1.39,NA,1.65,2.04,1.11,1.43,1.18,1.44
295,0,2.39,2.59,NA,2.41,NA,2.11,NA,3.26
296,0,NA,NA,NA,1.9,NA,1.84,3.45,2.61
297,0,1.48,NA,NA,1.67,1.56,NA,1.63,0.67
298,0,NA,NA,2.16,2.4,NA,3.02,NA,3.29
299,0,0.12,0.9,0.56,1.53,1.81,1.61,2.34,2.04
300,0,0.88,1.9,NA,1.69,2.71,NA,2.6,2.62
301,0,0.85,1.47,1.39,NA,NA,2.06,1.77,2.76
302,0,2.31,2.11,NA,2.24,NA,NA,3.2,3
303,0,NA,NA,NA,2.24,2.24,2.2,NA,NA
304,0,NA,NA,NA,1.53,NA,NA,NA,1.67
305,0,1.08,1.74,1.7,NA,2.11,2.67,NA,3.08
306,0,1.56,1.11,0.74,NA,NA,1.94,0.83,0.18
307,0,NA,1.47,NA,NA,2.73,1.86,NA,2.2
308,0,1.99,0.99,NA,1.91,2.38,2.77,2.76,NA
309,0,2.17,1.38,NA,NA,3.33,NA,2.65,3.58
310,0,1.37,1.57,1.63,1.83,1.06,NA,NA,NA
311,0,1.91,1.58,1.31,1.83,2.04,1.62,NA,1.65
312,0,NA,0.63,NA,1.78,NA,1.09,0.99,0.69
313,0,NA,NA,1.6,1.93,1.23,1.91,1.24,1.75
314,0,NA,0.53,NA,1.81,NA,2.5,NA,2.53
315,0,0.6,0.59,0.73,1.32,NA,1.59,1.47,1.76
316,0,0.32,0.32,1.35,NA,NA,1.43,1.54,2.41
317,0,2.2,NA,1.63,NA,NA,2.26,2.2,1.38
318,0,2.44,1.82,2.37,NA,NA,3.4,NA,2.99
319,0,1.14,1.34,NA,NA,0.79,1.03,1.04,NA
320,0,2.44,1.6,2.07,1.92,2.41,1.27,1.93,NA
321,0,1.91,1.61,NA,2.2,2.56,NA,NA,2.9
322,0,0.81,1.84,NA,1.84,1.6,1.4,2.07,NA
323,0,1.13,1.56,1.31,1.96,2.21,2.64,2.89,3.54
324,0,NA,1.61,NA,2.27,1.79,2.13,NA,2.55
325,0,0.61,NA,0.56,1.48,1.47,1.34,1.57,2.48
326,0,NA,1.18,1.28,1.75,1.42,1.49,1.2,1.3
327,0,1.68,NA,2.15,1.94,NA,1.48,NA,2.73
328,0,1.61,NA,1.56,1.88,2.72,2.75,2.44,NA
329,0,2.18,1.84,NA,1.8,0.89,0.78,1.21,1.71
330,0,2.26,3.13,NA,2.73,3.72,3.9,4.33,5
331,0,1.06,0.99,NA,1.8,0.97,NA,2.49,NA
332,0,NA,1.76,2.51,2.11,NA,2.73,3.42,3.3
333,0,1.64,NA,NA,1.75,NA,1.2,1.91,2.34
334,0,2.17,1.37,2.02,2.02,3.08,1.9,NA,NA
335,0,NA,0.7,0.73,1.31,1.75,1.74,NA,1.23
336,0,1.88,NA,NA,2.15,NA,2.39,2.6,NA
337,0,2.03,2.19,2.57,2.17,NA,NA,NA,NA
338,0,1.55,1.28,2.03,2.16,3.46,2.98,NA,2.81
339,0,NA,NA,1.56,NA,NA,1.8,2.72,2.63
340,0,1.53,1.66,1.43,1.35,NA,2.05,2.87,1.74
341,0,1.83,1.63,1.42,1.53,1.76,1.18,1.36,1.29
342,0,NA,0.84,NA,1.5,2.58,2.37,3.1,1.98
343,0,NA,2.25,2.24,NA,2.01,2.22,NA,3.8
344,0,0.98,1.13,NA,1.2,1.62,NA,1.73,NA
345,0,1.48,1.64,1.49,NA,NA,2.77,NA,2.31
346,0,1.62,2.55,1.77,1.97,NA,2.1,1.59,NA
347,0,1.13,1.61,1.91,1.65,1.4,2.58,NA,NA
348,0,1.82,2.13,2.15,NA,3.05,3.01,2.72,2.61
349,0,NA,NA,1.12,2.15,1.91,0.94,NA,2.41
350,0,NA,NA,NA,1.54,3.03,2.28,1.88,NA
351,0,1.98,1,NA,2.05,NA,2.26,2.29,1.97
352,0,1.68,1.62,2.55,NA,2.4,3.09,3.66,3.54
353,0,NA,1.86,2.56,NA,3.21,3.26,3.02,2.69
354,0,1.12,0.63,1.16,NA,NA,1.42,1.81,1.68
355,0,NA,NA,1.67,NA,1.99,1.38,1.99,NA
356,0,1.28,1.9,1.06,1.38,1.75,2.57,NA,NA
357,0,1.07,1.49,NA,2.16,2.68,3.04,NA,3.83
358,0,1.36,NA,NA,NA,NA,1.21,1.81,2.25
359,0,0.91,1.35,NA,1.78,2.23,2.51,3.39,NA
360,0,1.09,2.22,1.93,1.49,1.11,NA,NA,1.48
361,0,NA,1.07,2.38,2.03,NA,NA,2.89,2.77
362,0,2.15,NA,1.74,2.11,2.91,2.6,1.65,NA
363,0,NA,1.43,NA,NA,2.48,2.65,1.78,1.49
364,0,1.27,1.29,NA,1.49,NA,2.03,2.51,1.66
365,0,NA,1.68,1.54,NA,NA,2.06,1.8,1.37
366,0,NA,NA,1.12,1.74,NA,1.56,1.43,NA
367,0,1.48,1.84,3.1,2.12,1.6,2.27,NA,1.19
368,0,2.69,2.08,2.22,NA,3.33,2.85,3.48,NA
369,0,1.55,1.3,NA,NA,1.08,NA,3.03,2.58
370,0,1.49,1.59,0.69,NA,1.8,2,NA,2.9
371,0,2.65,2.05,2.43,NA,2.67,2.79,NA,2.35
372,0,2.25,NA,1.75,2.15,3.11,3.03,2.6,3.25
373,0,NA,0.7,NA,1.69,1.4,1.13,NA,1.04
374,0,1.9,NA,1.27,NA,2.41,2.39,1.61,2.35
375,0,1.27,NA,2.43,2.33,1.51,2.57,2.62,NA
376,0,1.71,NA,NA,2.38,2.94,2.31,1.9,2.78
377,0,NA,2.15,1.71,NA,3.09,3.55,NA,4.09
378,0,1.21,1.05,NA,2.03,2.8,2.55,NA,2.9
379,0,1.2,2.17,NA,2.05,1.58,1.96,2.88,2.69
380,0,NA,1.78,2.47,NA,NA,2.1,2.14,1.66
381,0,0.98,1.47,1.39,1.75,1.69,2.08,1.39,1.45
382,0,2.27,2.3,NA,1.67,NA,2.24,2.25,NA
383,0,2.04,NA,2.65,2.19,2.8,NA,3.14,NA
384,0,1.31,1.64,NA,1.46,0.76,1.74,1.51,NA
385,0,NA,1.26,1.94,2.05,2.21,1.2,NA,2.58
386,0,NA,2.78,2.13,NA,2.87,2.62,NA,3.93
387,0,2.1,1.62,1.19,NA,1.62,NA,1.19,NA
388,0,NA,1.79,1.54,NA,NA,2.32,NA,1.54
389,0,1.69,1.56,2.14,2.3,NA,2.66,2.33,NA
390,0,1.59,1.37,NA,NA,3.21,2.57,NA,NA
391,0,NA,NA,1.15,NA,2.77,1.45,NA,3.7
392,0,1.51,1.83,1.48,1.67,NA,NA,1.08,1.67
393,0,NA,1.86,1.71,1.84,2.89,3.03,3.77,2.92
394,0,0.84,1.31,NA,2,2.9,3.17,NA,NA
395,0,1.53,1.31,1.49,NA,2.74,2.3,1.34,1.37
396,0,NA,2,1.12,NA,1.66,2.88,NA,3.01
397,0,0.81,1.24,1.75,NA,1.17,1.68,2.53,1.49
398,0,2,1.7,1.85,2.06,NA,2.87,1.69,NA
399,0,NA,1.76,NA,2.23,2.82,2.7,1.68,2.17
400,0,0.1,0.95,NA,1.22,1.55,NA,NA,NA
401,0,NA,1.5,0.99,1.59,0.85,0.91,1.51,1.42
402,0,1.93,1.34,NA,2.49,2.63,NA,NA,3.77
403,0,NA,2.47,2.47,1.95,1.81,1.75,2.44,1.93
404,0,1.63,1.55,NA,1.79,1.88,1.52,NA,1.72
405,0,1.3,1.79,2.64,1.99,2.17,NA,2.84,2.38
406,0,0.38,NA,NA,2.1,1.99,2.63,NA,3.02
407,0,1.05,2.03,NA,2.1,NA,2.49,NA,2.56
408,0,0.93,1.87,1.37,1.68,NA,3.2,2.56,2.96
409,0,1.7,NA,2.53,NA,2.7,2.42,NA,4.04
410,0,2.46,3.05,3.16,2.2,NA,2.49,2.51,NA
411,0,NA,0.27,0.74,NA,0.24,1.62,0.47,NA
412,0,2.43,2.19,2.11,NA,2.48,NA,2.37,NA
413,0,2.96,2.82,2.93,2.23,3.03,3.09,3.1,2.7
414,0,NA,NA,1.42,1.81,1.39,1.17,NA,NA
415,0,NA,2.05,2.34,1.78,1.32,1.65,NA,1.86
416,0,2.09,1.79,NA,NA,1.71,NA,NA,2.54
