consci1,consci2,consci3,consci4,consci5,consci6,emostab1,emostab2,emostab3,emostab4,emostab5,emostab6,orgcon1,orgcon2,orgcon3,orgcon4,orgcon5,orgcon6,workbeh1,workbeh2,workbeh3,workbeh4,workbeh5,workbeh6,consci,emostab,orgcon,workbeh
4,2,1,4,4,5,2,2,1,4,3,4,4,2,2,4,2,4,2,2,1,1,1,3,20,16,18,10
4,5,4,4,5,4,5,3,4,5,4,3,1,2,3,1,1,2,1,2,1,2,2,2,26,24,10,10
5,5,5,3,4,5,1,1,3,1,1,1,1,2,2,4,2,2,1,2,1,1,1,1,27,8,13,7
1,4,3,1,4,2,3,1,3,2,2,3,4,3,3,4,5,4,1,2,1,2,1,2,15,14,23,9
3,5,5,4,4,5,2,2,2,3,4,4,2,1,1,2,3,1,1,3,1,1,1,1,26,17,10,8
4,3,2,3,4,5,2,4,1,1,4,1,5,4,5,2,5,5,2,3,2,3,1,3,21,13,26,14
2,1,1,1,1,1,4,3,4,2,3,4,2,2,2,1,1,2,1,1,2,1,1,1,7,20,10,7
1,4,1,3,2,3,1,2,4,3,1,3,4,3,4,2,2,2,2,2,3,2,3,2,14,14,17,14
2,3,3,4,3,5,5,4,2,3,5,5,1,1,1,1,1,1,1,2,1,1,1,2,20,24,6,8
4,5,4,4,2,5,2,1,2,2,2,1,2,5,3,3,5,2,1,3,2,1,2,2,24,10,20,11
5,5,5,5,5,5,4,5,5,5,5,4,2,2,1,2,2,5,1,1,1,1,2,2,30,28,14,8
3,5,5,3,4,5,5,4,3,4,5,3,3,4,3,5,3,4,3,1,1,1,2,1,25,24,22,9
4,5,5,5,5,5,3,4,4,3,2,4,5,3,3,5,4,5,1,3,1,2,1,2,29,20,25,10
5,5,4,5,5,5,4,2,4,5,4,2,1,1,2,5,2,2,1,1,1,1,1,1,29,21,13,6
4,5,5,5,5,5,1,2,1,1,4,1,2,5,3,2,2,2,2,2,1,1,1,1,29,10,16,8
4,2,4,3,3,5,1,2,2,1,3,1,1,2,2,2,3,1,2,1,3,2,1,1,21,10,11,10
5,4,5,5,4,4,4,5,4,5,1,3,1,4,3,4,5,3,3,2,3,2,1,3,27,22,20,14
3,4,5,2,4,5,4,3,3,3,2,2,1,1,2,1,2,1,2,2,1,1,1,2,23,17,8,9
5,5,5,5,4,5,5,4,5,5,5,5,3,3,5,4,4,2,1,1,1,1,1,2,29,29,21,7
3,1,2,4,4,3,1,4,1,2,2,1,5,3,3,4,2,3,2,2,1,2,1,1,17,11,20,9
4,4,4,5,4,4,3,4,3,4,2,4,5,2,2,2,3,5,1,3,2,1,2,3,25,20,19,12
3,4,2,4,3,3,3,3,4,3,3,1,1,1,2,2,1,2,1,1,1,1,1,2,19,17,9,7
5,4,2,4,4,3,3,3,4,4,4,4,3,2,1,1,1,1,2,1,1,2,1,1,22,22,9,8
1,4,4,3,4,3,3,3,4,4,1,4,5,5,4,5,5,5,3,2,2,2,2,3,19,19,29,14
5,5,5,5,5,5,1,1,2,1,1,2,3,2,2,1,1,2,2,2,1,2,1,2,30,8,11,10
5,3,2,4,5,4,5,5,5,4,4,5,4,2,5,2,3,5,5,4,3,5,3,3,23,28,21,23
5,5,5,5,5,5,2,5,4,4,4,4,2,1,3,2,3,2,1,1,1,1,1,1,30,23,13,6
3,4,4,5,5,2,3,4,5,4,4,3,1,1,1,2,1,4,1,2,1,1,2,1,23,23,10,8
5,5,5,4,5,5,3,3,4,4,4,3,1,2,2,1,3,3,1,3,1,2,1,2,29,21,12,10
5,5,5,5,5,5,4,4,3,5,5,3,2,2,4,5,2,4,2,3,2,3,1,2,30,24,19,13
5,3,4,5,3,5,2,2,1,1,2,1,1,2,2,2,4,2,1,1,1,1,2,2,25,9,13,8
1,5,3,3,5,2,4,4,4,4,3,4,5,5,5,5,5,5,2,3,4,3,4,3,19,23,30,19
4,3,5,3,3,4,3,5,3,4,4,4,2,4,4,5,5,4,1,2,1,1,2,1,22,23,24,8
5,4,5,5,5,5,3,3,4,4,2,3,3,3,2,5,4,5,2,1,2,2,2,2,29,19,22,11
5,5,5,4,3,4,3,3,3,2,4,1,3,1,1,1,1,1,2,1,1,2,2,1,26,16,8,9
3,5,5,4,2,2,1,1,2,1,1,3,1,3,3,3,2,2,2,1,1,1,1,1,21,9,14,7
5,4,3,5,4,4,5,5,4,5,5,5,5,2,2,2,3,5,1,1,2,2,3,1,25,29,19,10
5,2,1,5,2,5,3,1,2,1,1,4,1,2,3,2,2,2,1,2,2,1,2,1,20,12,12,9
3,5,5,5,4,3,4,2,4,3,3,2,5,4,2,3,5,5,3,2,3,2,1,2,25,18,24,13
5,4,4,5,5,5,4,2,2,2,2,2,2,1,1,3,1,2,1,2,2,1,2,1,28,14,10,9
5,3,2,4,3,1,3,5,2,4,4,5,3,3,4,4,4,2,3,1,2,1,1,1,18,23,20,9
3,2,4,4,4,3,5,5,5,5,5,4,1,3,3,1,5,4,1,1,2,1,1,1,20,29,17,7
5,5,5,3,4,5,4,4,3,5,3,1,1,2,2,2,1,1,1,1,1,1,1,2,27,20,9,7
5,5,5,5,5,5,2,4,1,3,2,4,2,3,4,4,2,2,2,3,1,2,3,5,30,16,17,16
5,4,5,4,5,5,4,4,4,3,4,4,5,4,5,2,2,2,1,1,1,1,1,1,28,23,20,6
2,2,3,5,4,3,4,4,2,3,2,5,4,4,2,4,3,2,2,1,1,1,1,1,19,20,19,7
4,5,4,5,5,4,3,4,5,4,4,5,5,5,5,5,4,5,1,1,1,3,1,2,27,25,29,9
3,5,3,4,3,3,4,2,4,4,5,1,3,3,3,5,4,2,1,1,1,2,1,2,21,20,20,8
4,4,3,4,1,3,5,3,5,4,4,4,3,3,2,2,2,2,2,2,2,2,2,1,19,25,14,11
5,4,4,4,2,3,4,1,2,3,4,1,2,2,1,1,3,2,1,1,1,2,2,2,22,15,11,9
5,4,5,5,5,5,5,5,5,5,3,5,5,2,2,1,3,2,1,1,1,1,1,1,29,28,15,6
3,3,4,2,5,4,4,4,4,4,3,5,2,4,2,5,4,3,3,3,5,2,3,2,21,24,20,18
4,4,2,3,2,2,5,4,4,4,4,4,1,2,1,2,2,2,2,1,1,1,1,1,17,25,10,7
2,2,3,4,3,2,4,2,2,1,3,1,3,5,1,3,2,2,2,3,2,1,2,2,16,13,16,12
1,2,3,4,4,4,5,5,5,4,5,4,5,5,5,5,5,5,4,5,3,4,5,3,18,28,30,24
1,1,3,1,4,1,5,4,4,4,4,4,3,2,3,4,3,2,2,2,2,2,1,3,11,25,17,12
3,1,2,1,2,1,2,1,1,1,1,1,4,2,2,3,2,4,2,1,1,2,2,3,10,7,17,11
4,1,2,2,2,3,4,5,4,4,5,5,3,2,5,2,2,1,1,1,1,1,1,1,14,27,15,6
2,3,2,4,3,5,4,4,5,4,4,4,2,1,2,1,1,2,1,1,1,1,1,1,19,25,9,6
5,5,5,5,5,5,3,2,1,3,3,1,3,3,2,2,3,2,2,2,2,3,3,3,30,13,15,15
4,4,5,5,4,4,5,4,4,4,3,4,2,1,2,1,1,1,1,1,1,2,1,2,26,24,8,8
4,4,4,4,5,4,2,3,1,1,1,1,2,2,2,2,4,4,1,1,2,2,1,2,25,9,16,9
5,2,5,4,5,3,4,5,3,3,2,4,5,2,2,2,3,2,1,2,1,1,1,1,24,21,16,7
3,5,4,4,4,3,5,3,2,4,3,3,2,1,2,1,1,3,2,2,3,2,3,3,23,20,10,15
5,5,5,5,5,5,2,4,5,4,4,4,2,2,3,3,2,2,1,1,2,2,2,1,30,23,14,9
1,3,3,4,2,3,4,4,4,5,4,3,2,4,4,2,4,3,2,2,2,2,2,1,16,24,19,11
4,5,5,5,5,5,4,4,4,4,4,5,3,3,3,2,2,2,3,3,2,1,1,3,29,25,15,13
5,4,2,4,5,4,2,3,1,4,4,2,2,3,1,2,4,2,2,3,2,1,1,1,24,16,14,10
3,2,2,5,5,2,5,4,4,5,2,4,2,4,1,2,2,4,3,1,2,2,1,2,19,24,15,11
3,1,4,4,5,4,5,5,4,5,5,4,1,2,5,4,4,2,3,1,1,1,1,2,21,28,18,9
5,5,5,3,4,5,2,2,4,4,4,3,3,2,2,1,3,2,1,1,1,2,1,1,27,19,13,7
5,4,4,4,4,5,2,4,3,4,4,5,2,3,3,2,5,2,1,1,2,2,2,2,26,22,17,10
3,5,4,5,1,2,2,4,1,1,2,1,5,5,4,3,5,2,1,2,2,2,1,2,20,11,24,10
5,5,4,4,5,2,1,1,1,1,1,1,2,2,1,2,4,2,1,1,1,1,1,1,25,6,13,6
5,5,4,4,4,4,2,1,2,2,2,1,2,2,1,4,5,3,2,2,3,1,2,2,26,10,17,12
5,5,5,5,4,5,1,3,4,3,4,2,2,3,4,2,5,5,2,1,2,1,1,2,29,17,21,9
3,4,3,5,3,4,4,2,1,1,2,3,5,2,3,2,3,2,3,2,1,2,2,2,22,13,17,12
4,2,5,5,5,5,1,1,3,2,1,3,3,2,3,5,5,4,3,1,1,1,1,2,26,11,22,9
3,5,3,5,5,5,2,1,3,3,4,3,3,3,3,4,3,3,2,2,2,2,1,1,26,16,19,10
4,2,2,1,1,4,5,4,5,4,5,4,5,5,5,5,4,5,4,4,5,5,3,3,14,27,29,24
5,5,5,5,5,5,5,5,4,4,4,5,5,4,2,2,4,5,1,1,1,1,1,2,30,27,22,7
5,4,4,5,3,5,4,3,3,4,5,3,2,4,2,4,2,2,1,1,1,1,1,1,26,22,16,6
3,4,3,4,3,1,5,5,5,4,4,4,2,1,2,2,2,2,2,1,2,1,3,1,18,27,11,10
1,5,4,3,4,3,4,4,1,3,3,2,3,2,1,5,5,5,1,1,3,2,2,2,20,17,21,11
1,5,1,3,1,1,4,4,4,1,3,1,3,2,3,2,3,2,2,1,1,1,1,1,12,17,15,7
5,5,5,5,5,5,4,5,5,4,4,4,3,5,3,3,3,4,2,1,1,1,2,1,30,26,21,8
5,4,5,5,5,5,4,4,4,4,5,5,2,3,2,2,3,2,1,1,1,1,1,1,29,26,14,6
3,5,4,3,5,4,2,5,4,4,3,4,2,4,2,3,4,5,1,1,2,1,2,3,24,22,20,10
5,3,4,3,5,4,2,4,5,4,4,3,2,2,2,3,5,2,2,4,2,3,1,2,24,22,16,14
5,4,5,4,4,5,5,4,4,4,4,5,1,2,2,2,2,2,1,2,1,1,1,1,27,26,11,7
3,2,3,3,3,2,4,3,2,2,4,4,1,2,2,3,2,2,1,1,2,1,2,1,16,19,12,8
5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,2,1,1,1,2,1,1,30,30,14,7
5,2,4,4,5,2,3,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,22,21,11,6
4,4,5,2,5,4,5,4,4,5,5,5,2,4,4,4,3,5,1,2,1,2,2,3,24,28,22,11
5,5,5,3,4,5,3,1,1,1,1,2,5,5,5,5,5,5,2,2,2,2,3,3,27,9,30,14
2,2,2,2,4,3,1,3,1,1,2,4,5,5,4,3,5,3,2,2,4,2,4,3,15,12,25,17
5,5,5,5,5,5,4,2,4,5,4,5,4,2,2,1,2,4,2,1,1,2,1,1,30,24,15,8
4,5,5,5,4,5,3,2,1,2,1,1,3,5,4,3,1,2,2,2,2,2,2,2,28,10,18,12
1,1,1,2,2,1,5,5,3,4,4,5,3,3,3,3,4,5,3,3,2,4,2,2,8,26,21,16
4,5,5,5,5,5,4,4,5,4,4,4,5,3,3,2,5,4,1,1,3,2,1,1,29,25,22,9
5,5,4,5,5,4,3,1,4,4,4,3,3,3,3,4,2,5,2,2,2,1,1,1,28,19,20,9
4,5,4,4,4,5,5,2,5,4,3,4,2,1,2,2,2,1,2,2,1,1,1,2,26,23,10,9
4,5,3,4,5,4,4,1,4,4,4,4,4,2,5,2,2,2,3,3,2,2,3,3,25,21,17,16
4,4,4,3,4,4,4,4,5,4,4,4,2,2,5,5,4,4,2,2,2,3,3,3,23,25,22,15
3,4,3,4,5,3,2,4,4,2,3,3,3,2,3,2,2,2,1,1,1,1,2,1,22,18,14,7
4,5,2,1,2,4,4,4,4,5,5,4,4,3,1,3,2,2,2,2,2,2,1,1,18,26,15,10
3,1,3,1,5,3,5,5,5,5,4,5,2,3,2,2,1,2,1,1,1,1,2,1,16,29,12,7
4,4,5,3,2,2,5,4,4,4,5,3,1,2,1,3,2,1,1,1,1,1,1,1,20,25,10,6
1,3,4,2,4,1,3,1,1,4,4,4,5,4,5,4,5,4,3,3,2,2,3,2,15,17,27,15
5,5,5,5,5,5,2,4,4,5,5,4,5,3,2,3,2,4,1,1,1,1,1,1,30,24,19,6
2,4,4,3,5,5,3,5,5,4,5,3,5,3,3,3,4,4,1,2,2,1,2,1,23,25,22,9
5,3,5,3,5,5,5,4,5,3,4,4,3,5,4,1,4,2,1,2,2,2,1,1,26,25,19,9
2,3,3,2,3,4,4,5,2,2,4,1,3,3,3,5,4,5,2,2,1,2,3,2,17,18,23,12
1,1,1,1,3,1,2,3,4,1,5,4,1,3,1,3,2,2,1,2,1,1,1,1,8,19,12,7
5,5,5,5,5,5,4,2,2,2,1,2,1,3,2,5,2,3,2,3,1,3,1,2,30,13,16,12
2,3,5,2,3,3,2,4,2,4,4,3,3,4,2,5,3,4,3,3,3,3,3,3,18,19,21,18
5,5,5,5,5,5,5,4,5,4,4,5,2,3,2,1,2,2,2,2,2,2,3,2,30,27,12,13
4,4,5,5,4,3,4,5,4,3,4,3,2,2,3,3,2,2,1,1,1,1,1,1,25,23,14,6
4,5,5,4,5,1,3,4,2,1,1,2,2,5,1,2,3,1,1,1,1,1,1,1,24,13,14,6
5,4,5,5,5,5,4,2,2,5,4,4,1,2,2,1,2,1,1,1,1,1,1,1,29,21,9,6
4,1,1,1,3,1,5,2,4,4,4,4,3,2,3,2,3,2,3,2,3,2,1,3,11,23,15,14
5,5,5,5,4,5,5,5,5,4,5,4,1,2,1,2,1,1,1,1,1,1,1,1,29,28,8,6
3,3,1,2,4,2,1,1,2,2,2,1,2,5,4,2,3,3,1,1,1,1,2,1,15,9,19,7
3,4,5,5,5,5,4,4,4,4,5,5,1,4,4,3,1,3,3,3,2,1,1,1,27,26,16,11
4,5,3,3,1,3,4,4,1,2,1,1,3,2,2,2,1,1,2,2,3,2,1,2,19,13,11,12
2,2,3,4,4,4,3,1,1,2,1,2,4,4,4,5,2,5,2,2,2,2,1,2,19,10,24,11
5,4,4,3,3,5,5,5,3,5,4,4,3,3,2,2,3,3,1,1,1,1,1,1,24,26,16,6
1,3,3,4,2,4,2,2,4,3,3,4,5,5,3,3,1,2,1,5,2,2,1,1,17,18,19,12
1,2,3,2,2,2,2,3,4,1,4,2,1,2,2,2,1,2,1,1,1,1,2,2,12,16,10,8
4,5,5,5,3,5,5,5,5,4,4,5,5,1,3,2,2,3,1,1,1,1,2,1,27,28,16,7
5,5,5,5,5,5,5,4,4,3,2,3,1,2,1,2,1,2,4,3,3,3,2,2,30,21,9,17
5,4,4,5,4,5,3,3,2,1,1,3,1,1,1,3,1,2,1,2,1,1,1,2,27,13,9,8
2,4,3,4,4,1,4,3,4,5,5,4,3,2,2,2,2,3,2,3,2,1,3,1,18,25,14,12
2,4,1,1,4,4,2,4,1,3,4,4,3,3,4,2,1,2,2,1,1,1,1,2,16,18,15,8
3,5,5,1,2,5,3,5,4,4,4,4,4,3,3,3,3,4,1,2,1,2,3,2,21,24,20,11
3,4,4,5,5,3,5,4,4,5,4,4,2,4,4,2,2,2,3,2,2,3,2,1,24,26,16,13
3,4,4,5,5,4,4,2,5,4,3,5,2,2,2,4,4,2,1,1,1,1,1,1,25,23,16,6
4,1,2,2,1,2,4,5,5,5,5,5,5,5,5,5,4,3,5,3,5,3,5,5,12,29,27,26
3,4,5,4,5,4,4,4,5,4,4,4,4,2,2,2,1,2,2,2,1,2,1,1,25,25,13,9
3,5,5,5,4,5,2,3,1,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,27,15,6,6
4,5,4,5,4,5,5,4,5,5,3,4,1,3,1,1,2,3,1,2,2,1,1,1,27,26,11,8
1,4,3,3,1,3,1,4,4,4,2,3,2,2,3,2,3,2,1,1,2,1,1,1,15,18,14,7
4,4,5,3,5,5,2,2,2,4,1,2,3,3,2,4,4,2,2,2,1,1,2,2,26,13,18,10
1,3,3,4,4,4,1,2,1,4,1,1,3,2,2,4,3,5,2,3,2,3,2,1,19,10,19,13
4,4,5,4,3,4,3,3,4,4,1,4,1,3,4,3,2,4,2,1,1,2,1,1,24,19,17,8
3,4,4,3,2,3,3,2,1,3,3,1,2,1,1,1,2,1,2,1,1,1,1,2,19,13,8,8
4,5,4,5,5,5,1,1,1,1,2,2,3,3,5,4,2,5,1,2,2,2,2,1,28,8,22,10
3,2,3,2,4,2,4,3,2,1,2,3,2,4,2,4,3,3,2,2,2,1,2,2,16,15,18,11
3,3,1,5,2,2,2,3,2,1,5,1,2,2,2,1,2,5,1,1,1,1,1,1,16,14,14,6
4,4,3,5,3,1,4,3,3,4,3,2,3,3,5,3,4,2,3,3,5,3,3,3,20,19,20,20
3,3,3,4,3,1,3,1,2,3,1,1,1,1,1,2,2,1,1,1,1,1,1,1,17,11,8,6
1,2,4,1,2,3,2,1,4,2,2,2,2,2,2,2,3,2,3,2,1,2,2,1,13,13,13,11
2,5,4,4,2,3,2,4,5,4,5,5,1,5,3,2,4,1,2,3,2,3,3,2,20,25,16,15
3,3,2,2,3,2,3,4,3,2,1,4,2,3,4,2,1,3,1,2,1,1,1,1,15,17,15,7
4,5,4,3,4,2,5,4,3,4,5,5,2,1,1,1,1,1,1,2,1,1,1,1,22,26,7,7
5,5,3,3,5,4,4,5,5,4,5,4,1,4,2,2,2,1,2,1,1,1,1,1,25,27,12,7
4,4,4,3,4,1,4,2,4,3,4,2,2,4,5,3,2,2,3,1,3,4,4,2,20,19,18,17
5,4,4,3,5,4,5,5,5,5,4,4,3,1,3,3,4,2,1,1,1,1,2,1,25,28,16,7
4,5,5,5,5,4,5,4,5,4,4,5,1,2,2,3,1,1,1,1,1,1,1,1,28,27,10,6
4,3,2,2,4,2,2,2,2,2,2,4,2,2,4,3,4,3,1,1,1,2,2,1,17,14,18,8
4,1,4,4,4,5,5,4,3,3,4,4,1,3,2,2,2,5,1,1,1,1,1,2,22,23,15,7
5,5,5,4,5,5,3,4,4,3,3,4,2,1,2,2,1,1,2,2,2,2,1,1,29,21,9,10
5,5,4,3,4,1,1,1,2,2,3,2,2,3,1,2,2,1,3,2,3,2,3,2,22,11,11,15
3,4,4,4,4,4,2,4,3,1,2,2,3,2,2,3,3,2,1,1,2,1,1,1,23,14,15,7
5,5,5,3,5,4,4,3,3,3,2,4,2,5,5,5,5,3,2,3,4,3,5,2,27,19,25,19
5,5,5,5,5,3,5,5,5,5,4,5,2,3,1,1,2,1,1,1,1,1,1,1,28,29,10,6
5,5,5,5,5,5,4,2,5,3,3,5,2,2,1,4,1,2,3,2,1,2,2,2,30,22,12,12
3,5,5,5,5,5,4,3,2,2,3,3,1,4,2,2,2,2,2,1,2,1,1,1,28,17,13,8
3,4,4,5,4,5,2,2,4,4,4,4,1,2,1,3,1,2,2,1,1,1,1,1,25,20,10,7
4,2,1,3,1,1,4,2,4,1,2,4,5,5,5,3,5,5,1,3,3,2,3,2,12,17,28,14
5,5,4,5,4,4,3,1,4,4,4,4,2,3,2,2,2,1,1,1,3,1,1,1,27,20,12,8
1,1,3,4,1,5,2,3,4,3,1,4,1,1,1,1,2,1,1,1,1,1,1,1,15,17,7,6
5,5,4,4,4,5,3,2,4,4,2,5,3,3,5,2,4,3,2,5,2,2,2,1,27,20,20,14
1,3,3,1,1,4,2,4,4,4,5,4,2,3,2,5,2,3,2,1,1,1,1,2,13,23,17,8
5,5,5,5,5,5,1,3,4,4,4,4,2,2,2,4,2,3,2,1,1,1,1,2,30,20,15,8
5,5,4,4,3,5,3,4,4,3,1,5,3,4,5,5,2,2,2,1,2,2,1,1,26,20,21,9
4,5,4,4,4,3,4,2,4,3,2,2,5,4,5,5,4,5,5,3,3,3,4,3,24,17,28,21
3,5,5,2,5,3,4,5,5,4,4,5,2,4,1,2,4,2,1,1,2,1,1,1,23,27,15,7
5,5,4,5,5,5,1,5,4,4,4,4,2,2,4,2,3,3,2,1,1,2,1,1,29,22,16,8
5,3,2,4,2,1,1,1,1,2,3,3,5,2,4,2,3,4,2,3,2,2,3,3,17,11,20,15
5,3,2,2,4,4,5,4,2,1,4,4,2,1,2,2,4,3,2,2,3,2,3,2,20,20,14,14
5,5,5,5,4,4,1,2,3,2,3,3,1,1,2,1,2,1,1,1,2,1,2,1,28,14,8,8
5,5,4,5,5,5,5,5,4,4,4,5,2,3,5,4,3,2,1,1,1,2,1,1,29,27,19,7
5,3,2,3,3,5,4,2,4,4,4,4,2,4,3,1,3,3,2,2,1,2,2,1,21,22,16,10
5,4,5,5,5,5,5,5,5,5,5,5,2,3,2,1,2,2,1,1,1,1,1,1,29,30,12,6
3,2,2,2,5,3,3,3,2,1,1,4,1,2,1,2,2,2,1,1,1,2,2,1,17,14,10,8
3,5,2,3,4,1,3,3,3,2,2,3,4,4,3,5,3,5,4,2,2,2,3,2,18,16,24,15
4,2,5,4,5,3,4,5,4,5,5,5,4,3,2,2,4,3,3,2,1,4,2,3,23,28,18,15
5,4,3,5,4,4,2,4,4,1,3,1,5,3,5,5,4,5,1,2,2,2,2,3,25,15,27,12
5,4,3,5,3,4,2,2,4,4,4,4,2,1,2,2,1,2,1,1,1,1,1,1,24,20,10,6
5,5,5,4,5,5,4,5,5,4,5,4,3,2,5,2,2,5,1,2,2,1,1,2,29,27,19,9
5,5,4,5,5,5,4,2,4,4,3,1,3,3,4,3,3,4,1,1,1,1,1,1,29,18,20,6
5,5,5,5,5,5,3,4,2,3,3,1,2,3,2,3,2,1,1,1,1,1,1,1,30,16,13,6
2,4,4,5,5,4,4,4,5,5,4,4,1,2,1,1,3,1,1,2,2,1,1,1,24,26,9,8
4,3,4,3,5,5,4,1,4,1,2,3,2,1,2,3,2,2,2,1,2,2,2,2,24,15,12,11
1,1,1,1,1,1,1,1,1,3,4,1,5,4,4,5,5,2,3,3,3,1,2,2,6,11,25,14
4,5,4,2,1,3,4,5,3,4,4,5,4,3,2,2,2,4,1,1,1,1,1,1,19,25,17,6
5,5,5,5,5,5,4,4,5,4,4,1,2,3,3,4,2,2,1,1,1,1,1,1,30,22,16,6
3,5,4,5,4,5,5,5,4,3,5,4,3,5,1,4,3,3,1,2,2,1,3,2,26,26,19,11
2,3,5,5,4,3,2,4,3,5,3,4,5,4,5,5,4,3,2,2,3,2,2,3,22,21,26,14
4,4,4,3,5,5,4,4,1,1,3,4,3,4,1,4,4,2,1,1,2,1,1,1,25,17,18,7
5,5,5,5,5,5,4,3,1,1,3,3,2,3,3,2,2,5,1,1,1,1,1,2,30,15,17,7
5,4,5,4,4,5,5,4,4,3,4,1,5,5,5,4,4,4,2,2,2,3,2,3,27,21,27,14
4,4,4,2,4,3,2,2,1,1,4,4,4,5,4,5,4,4,1,1,2,1,1,1,21,14,26,7
5,5,5,5,5,4,3,3,3,3,3,3,2,3,3,5,2,3,1,1,1,2,1,2,29,18,18,8
5,5,5,2,5,5,3,3,4,4,4,3,2,1,3,3,3,1,1,1,1,1,1,1,27,21,13,6
3,3,3,5,2,2,1,1,3,1,3,1,4,5,4,3,2,5,3,3,2,2,4,1,18,10,23,15
2,4,1,1,4,3,2,4,4,4,4,3,4,2,5,4,2,3,2,3,2,2,2,2,15,21,20,13
4,2,5,5,4,5,4,4,4,1,1,4,3,1,3,1,3,2,1,2,2,1,1,1,25,18,13,8
4,3,1,2,5,1,3,1,4,3,1,2,4,3,4,5,3,3,1,2,1,2,2,2,16,14,22,10
1,1,3,3,3,3,2,3,1,1,2,1,2,4,1,2,1,3,1,1,3,2,1,2,14,10,13,10
5,2,5,5,5,5,4,4,2,5,5,4,1,2,1,2,2,1,3,1,1,1,1,1,27,24,9,8
2,3,5,4,4,5,4,1,4,2,4,4,2,2,1,1,1,1,1,1,1,1,1,1,23,19,8,6
5,5,5,4,5,5,3,3,2,3,3,2,2,2,1,2,3,4,2,2,3,3,3,1,29,16,14,14
5,5,5,5,5,5,2,3,4,3,3,4,4,3,3,4,4,3,1,1,1,1,2,1,30,19,21,7
5,4,3,5,1,5,4,4,4,3,3,4,5,3,4,4,5,2,2,1,2,1,1,2,23,22,23,9
1,4,4,5,4,3,2,2,1,3,4,4,3,4,5,3,5,5,2,2,1,1,3,2,21,16,25,11
5,5,2,5,3,3,4,1,2,1,1,4,3,1,2,2,1,5,2,2,1,2,2,2,23,13,14,11
4,4,3,4,5,5,3,3,1,2,2,4,2,2,3,5,4,2,2,3,2,3,2,2,25,15,18,14
4,5,3,4,4,5,3,2,1,4,1,4,5,4,4,5,3,4,2,1,2,1,2,1,25,15,25,9
5,5,4,4,4,4,5,5,4,3,5,4,1,1,2,1,1,1,2,1,1,2,1,1,26,26,7,8
5,5,5,5,5,5,3,4,1,2,4,1,3,5,5,2,3,5,2,2,1,2,1,1,30,15,23,9
3,2,4,1,1,1,2,2,3,1,5,3,5,5,3,3,5,3,3,2,2,2,3,2,12,16,24,14
2,1,3,2,2,4,4,2,2,1,5,4,3,5,5,4,2,5,4,4,5,5,5,3,14,18,24,26
4,5,5,4,5,4,1,4,2,3,3,5,3,5,3,5,2,3,3,2,2,2,1,1,27,18,21,11
5,4,5,4,4,4,5,3,4,2,4,4,3,3,2,3,2,2,1,3,1,3,1,1,26,22,15,10
5,5,5,5,5,5,1,3,3,1,2,3,1,3,1,1,1,2,1,1,1,1,1,1,30,13,9,6
